Order ID,Customer Name,Category,Subcategory,City,Orderdate,Region,Sales,Discount,Profit,State
ORD100054,Isha Gupta,Grocery,Pulses,Kolkata,30-12-23,East,3237.94,0.03,779.47,West Bengal
ORD100055,Aarav Joshi,Fruits & Vegetables,Banana,Ahmedabad,05-06-24,West,5849.76,0.29,310.9,Gujarat
ORD100056,Sneha Nair,Bakery,Bread,Ahmedabad,18-09-23,West,324.4,0.29,22.37,Gujarat
ORD100057,Vivaan Gupta,Fruits & Vegetables,Onion,Jaipur,18-07-23,North,7559.56,0.03,1263.72,Rajasthan
ORD100058,Aarav Mehta,Bakery,Bun,Mumbai,13-07-25,West,1787.22,0.28,240.29,Maharashtra
ORD100059,Ananya Das,Beverages,Soft Drinks,Mumbai,25-10-24,West,6594.76,0.12,806.89,Maharashtra
ORD100060,Diya Nair,Dairy,Cheese,Kolkata,20-02-23,East,6694.07,0.17,368.46,West Bengal
ORD100061,Sneha Joshi,Fruits & Vegetables,Potato,Jaipur,29-05-25,North,8151.47,0.03,1359.04,Rajasthan
ORD100062,Vivaan Reddy,Fruits & Vegetables,Onion,Pune,20-01-25,West,9156.67,0.12,1124.88,Maharashtra
ORD100063,Diya Das,Bakery,Croissant,Mumbai,09-02-24,West,6517.07,0.06,1006.66,Maharashtra
ORD100064,Diya Das,Personal Care,Shampoo,Chennai,13-02-25,South,6143.98,0.25,456.06,Tamil Nadu
ORD100065,Vivaan Gupta,Dairy,Paneer,Jaipur,21-08-24,North,4724.07,0.15,633.76,Rajasthan
ORD100066,Sneha Das,Grocery,Rice,Delhi,18-02-24,North,9709.92,0.12,763.87,Delhi
ORD100067,Aarav Kumar,Bakery,Rusk,Lucknow,21-07-24,North,7188.27,0.11,1429.73,Uttar Pradesh
ORD100068,Ananya Sharma,Personal Care,Soap,Lucknow,26-06-24,North,1078.69,0.27,167.94,Uttar Pradesh
ORD100069,Priya Patel,Snacks,Namkeen,Chennai,05-06-23,South,6690.39,0.27,779.66,Tamil Nadu
ORD100070,Rohan Patel,Snacks,Namkeen,Mumbai,23-04-25,West,408.82,0.28,42.79,Maharashtra
ORD100071,Rahul Joshi,Snacks,Chips,Hyderabad,27-03-23,South,8343.8,0.27,1520.43,Telangana
ORD100072,Ananya Das,Grocery,Rice,Lucknow,27-06-25,North,9812.66,0.21,1877.51,Uttar Pradesh
ORD100073,Rahul Nair,Personal Care,Shampoo,Hyderabad,28-05-23,South,2308.09,0.07,509.79,Telangana
ORD100074,Kunal Kumar,Personal Care,Toothpaste,Jaipur,16-04-25,North,9167.38,0.24,1454.14,Rajasthan
ORD100075,Isha Kumar,Dairy,Butter,Jaipur,07-03-23,North,5032.42,0.19,353.44,Rajasthan
ORD100076,Priya Sharma,Personal Care,Soap,Chennai,29-07-23,South,8348.41,0.16,1625.19,Tamil Nadu
ORD100077,Isha Joshi,Dairy,Curd,Mumbai,14-10-24,West,2934.45,0.2,346.95,Maharashtra
ORD100078,Priya Das,Personal Care,Cream,Kolkata,18-11-24,East,4501.2,0.12,713.07,West Bengal
ORD100079,Vivaan Gupta,Personal Care,Soap,Kolkata,29-09-24,East,5126.19,0.21,750.93,West Bengal
ORD100080,Sneha Das,Fruits & Vegetables,Onion,Bengaluru,07-05-25,South,6948.31,0.28,947.15,Karnataka
ORD100081,Priya Kumar,Household,Bucket,Jaipur,19-11-23,North,3418.98,0.13,526.66,Rajasthan
ORD100082,Vivaan Nair,Personal Care,Shampoo,Chennai,20-08-23,South,304.82,0.14,31.05,Tamil Nadu
ORD100083,Ananya Sharma,Fruits & Vegetables,Onion,Jaipur,22-04-23,North,7811.42,0.07,642.57,Rajasthan
ORD100084,Priya Singh,Personal Care,Shampoo,Bengaluru,12-05-23,South,2716.72,0.12,210.9,Karnataka
ORD100085,Rohan Das,Personal Care,Deodorant,Delhi,09-01-25,North,1851.85,0.03,233.46,Delhi
ORD100086,Rohan Singh,Dairy,Paneer,Chennai,15-02-24,South,342.83,0.18,47.59,Tamil Nadu
ORD100087,Priya Sharma,Grocery,Rice,Chennai,04-04-23,South,1398.19,0.11,200.32,Tamil Nadu
ORD100088,Sneha Gupta,Beverages,Juice,Lucknow,27-02-23,North,8808.17,0.16,1130.3,Uttar Pradesh
ORD100089,Ananya Reddy,Personal Care,Shampoo,Chennai,27-04-23,South,2788.5,0.01,498.12,Tamil Nadu
ORD100090,Priya Mehta,Fruits & Vegetables,Banana,Hyderabad,07-07-24,South,3966.93,0.09,738.75,Telangana
ORD100091,Ananya Sharma,Grocery,Rice,Jaipur,20-10-23,North,5971.11,0.29,357.27,Rajasthan
ORD100092,Rohan Mehta,Personal Care,Deodorant,Chennai,07-05-24,South,2519.27,0.13,541.65,Tamil Nadu
ORD100093,Priya Reddy,Snacks,Namkeen,Lucknow,17-10-24,North,5494.85,0.05,450.49,Uttar Pradesh
ORD100094,Rohan Gupta,Personal Care,Deodorant,Bengaluru,07-01-23,South,3469.31,0.02,611.24,Karnataka
ORD100095,Rahul Gupta,Beverages,Coffee,Mumbai,17-04-25,West,8465.25,0.23,1273.23,Maharashtra
ORD100096,Priya Gupta,Beverages,Juice,Lucknow,23-06-23,North,6457.41,0.03,550.51,Uttar Pradesh
ORD100097,Diya Singh,Personal Care,Shampoo,Ahmedabad,12-03-25,West,1878.93,0.25,345.18,Gujarat
ORD100098,Vivaan Gupta,Snacks,Cake,Mumbai,08-01-23,West,1038.62,0.08,110.24,Maharashtra
ORD100099,Sneha Patel,Snacks,Namkeen,Delhi,21-02-24,North,7452.84,0.07,1550.85,Delhi
ORD100100,Aarav Gupta,Dairy,Paneer,Chennai,28-08-25,South,3149.6,0.06,206.69,Tamil Nadu
ORD100101,Rohan Kumar,Beverages,Soft Drinks,Mumbai,28-11-23,West,5801.62,0.03,615.87,Maharashtra
ORD100102,Vivaan Mehta,Fruits & Vegetables,Onion,Lucknow,15-03-23,North,619.03,0.18,40,Uttar Pradesh
ORD100103,Kunal Das,Snacks,Chocolate,Jaipur,18-07-23,North,1976.36,0.16,144.19,Rajasthan
ORD100104,Isha Joshi,Household,Mop,Hyderabad,15-09-25,South,1291.03,0.21,199.33,Telangana
ORD100105,Sneha Joshi,Personal Care,Cream,Pune,23-10-23,West,599.36,0.24,56.22,Maharashtra
ORD100106,Rahul Kumar,Fruits & Vegetables,Apple,Lucknow,15-12-24,North,9923.27,0.09,528.07,Uttar Pradesh
ORD100107,Aarav Joshi,Personal Care,Soap,Lucknow,02-07-23,North,3790,0.26,687.64,Uttar Pradesh
ORD100108,Vivaan Patel,Fruits & Vegetables,Tomato,Chennai,03-01-25,South,9977.46,0.1,1278.81,Tamil Nadu
ORD100109,Vivaan Kumar,Snacks,Biscuits,Delhi,24-07-23,North,7500.94,0.18,1077.4,Delhi
ORD100110,Ananya Kumar,Bakery,Bun,Kolkata,13-03-23,East,7141.8,0.25,926,West Bengal
ORD100111,Aarav Singh,Fruits & Vegetables,Apple,Pune,15-01-25,West,6253.76,0.25,1010.41,Maharashtra
ORD100112,Vivaan Singh,Fruits & Vegetables,Potato,Bengaluru,16-12-24,South,516.74,0.29,71.59,Karnataka
ORD100113,Priya Mehta,Household,Mop,Chennai,01-09-23,South,5079.69,0.21,707.42,Tamil Nadu
ORD100114,Vivaan Singh,Fruits & Vegetables,Banana,Hyderabad,13-01-24,South,7027.45,0.17,795.7,Telangana
ORD100115,Priya Nair,Beverages,Juice,Hyderabad,08-06-23,South,8806.85,0.01,2026.6,Telangana
ORD100116,Priya Reddy,Bakery,Bun,Kolkata,19-10-23,East,7301.09,0.06,381.96,West Bengal
ORD100117,Priya Singh,Beverages,Coffee,Jaipur,16-02-24,North,7287.9,0.19,351.81,Rajasthan
ORD100118,Isha Nair,Dairy,Cheese,Jaipur,30-08-25,North,6592.57,0.05,655.81,Rajasthan
ORD100119,Sneha Sharma,Fruits & Vegetables,Potato,Chennai,19-06-25,South,9020.94,0.03,1800.93,Tamil Nadu
ORD100120,Kunal Mehta,Personal Care,Deodorant,Ahmedabad,30-01-23,West,9510.75,0.02,744.33,Gujarat
ORD100121,Isha Patel,Grocery,Pulses,Bengaluru,22-04-23,South,459.11,0.3,68.48,Karnataka
ORD100122,Rohan Gupta,Bakery,Rusk,Delhi,16-09-23,North,7947.49,0.02,972.25,Delhi
ORD100123,Diya Das,Fruits & Vegetables,Onion,Pune,14-08-23,West,5648.31,0.15,1121.05,Maharashtra
ORD100124,Rahul Patel,Bakery,Pastry,Mumbai,23-04-25,West,5201.9,0.22,572.61,Maharashtra
ORD100125,Rahul Joshi,Household,Tissue,Delhi,12-04-25,North,7102.32,0.28,788.25,Delhi
ORD100126,Kunal Gupta,Personal Care,Toothpaste,Pune,02-03-24,West,4453,0.06,215.84,Maharashtra
ORD100127,Priya Joshi,Bakery,Bread,Pune,06-04-25,West,1725.67,0.27,222.96,Maharashtra
ORD100128,Vivaan Singh,Beverages,Tea,Ahmedabad,19-02-23,West,9348.16,0.09,1249.56,Gujarat
ORD100129,Diya Joshi,Bakery,Bread,Hyderabad,27-02-24,South,550.59,0.16,88.3,Telangana
ORD100130,Ananya Mehta,Snacks,Chips,Ahmedabad,29-08-23,West,1773.68,0.25,232.41,Gujarat
ORD100131,Ananya Reddy,Household,Detergent,Mumbai,06-11-23,West,7175.01,0.14,520.65,Maharashtra
ORD100132,Aarav Mehta,Household,Bucket,Pune,26-04-25,West,9914.61,0.17,1616.47,Maharashtra
ORD100133,Rahul Gupta,Snacks,Cake,Jaipur,21-08-24,North,4468.56,0.24,482.89,Rajasthan
ORD100134,Sneha Joshi,Grocery,Flour,Kolkata,30-12-23,East,573.2,0.13,93.9,West Bengal
ORD100135,Rahul Patel,Snacks,Chocolate,Ahmedabad,24-12-23,West,6191.66,0.27,924.21,Gujarat
ORD100136,Aarav Reddy,Bakery,Croissant,Delhi,20-04-23,North,4656.47,0.03,510.84,Delhi
ORD100137,Aarav Singh,Snacks,Cake,Ahmedabad,10-10-24,West,8791.44,0.07,1380.47,Gujarat
ORD100138,Rahul Kumar,Grocery,Rice,Bengaluru,09-05-23,South,3940.19,0.18,361.47,Karnataka
ORD100139,Sneha Singh,Household,Bucket,Ahmedabad,18-05-25,West,9549.57,0.14,2000.83,Gujarat
ORD100140,Rahul Kumar,Bakery,Bun,Chennai,14-03-25,South,7953.65,0.12,1350.87,Tamil Nadu
ORD100141,Aarav Joshi,Bakery,Rusk,Chennai,18-05-23,South,6012.64,0.25,329.84,Tamil Nadu
ORD100142,Vivaan Reddy,Grocery,Spices,Lucknow,03-03-23,North,2633.9,0.06,466.22,Uttar Pradesh
ORD100143,Sneha Reddy,Grocery,Pulses,Pune,03-05-24,West,2496.82,0.05,134.11,Maharashtra
ORD100144,Rahul Kumar,Beverages,Water,Hyderabad,03-01-24,South,8530.06,0.25,775.02,Telangana
ORD100145,Vivaan Reddy,Beverages,Water,Ahmedabad,19-08-23,West,2787.84,0.09,227.11,Gujarat
ORD100146,Rohan Mehta,Bakery,Rusk,Jaipur,26-01-25,North,1185.4,0.1,218.73,Rajasthan
ORD100147,Aarav Reddy,Bakery,Pastry,Bengaluru,17-07-25,South,7656.88,0.29,273.17,Karnataka
ORD100148,Rohan Mehta,Beverages,Juice,Mumbai,17-07-24,West,4270.72,0.02,694.45,Maharashtra
ORD100149,Rahul Sharma,Household,Mop,Mumbai,26-03-25,West,6257.77,0.29,703.23,Maharashtra
ORD100150,Aarav Kumar,Fruits & Vegetables,Apple,Kolkata,08-12-24,East,703.71,0.05,106.96,West Bengal
ORD100151,Priya Das,Personal Care,Toothpaste,Kolkata,02-02-25,East,1926.84,0.22,267.46,West Bengal
ORD100152,Kunal Mehta,Personal Care,Shampoo,Hyderabad,09-05-25,South,4307.65,0.23,260.21,Telangana
ORD100153,Kunal Das,Grocery,Spices,Hyderabad,12-04-24,South,7261.77,0.15,432.74,Telangana
ORD100154,Rohan Kumar,Fruits & Vegetables,Tomato,Ahmedabad,22-09-24,West,8243.12,0.01,1376.16,Gujarat
ORD100155,Aarav Joshi,Bakery,Croissant,Chennai,13-07-24,South,1863.76,0.22,186.17,Tamil Nadu
ORD100156,Priya Singh,Dairy,Cheese,Mumbai,26-01-25,West,9356.68,0.24,1050.63,Maharashtra
ORD100157,Vivaan Reddy,Household,Tissue,Chennai,08-11-23,South,7035.61,0.08,705.28,Tamil Nadu
ORD100158,Rahul Sharma,Beverages,Water,Kolkata,16-10-24,East,2311.46,0.02,175.47,West Bengal
ORD100159,Diya Nair,Fruits & Vegetables,Potato,Bengaluru,26-04-23,South,4230.77,0.13,780.46,Karnataka
ORD100160,Isha Nair,Bakery,Bread,Pune,09-04-23,West,1388.67,0.02,215.15,Maharashtra
ORD100161,Priya Mehta,Grocery,Rice,Mumbai,23-04-24,West,9967.78,0.12,1874.88,Maharashtra
ORD100162,Rahul Sharma,Bakery,Bread,Hyderabad,10-06-24,South,9909.66,0.27,1334.19,Telangana
ORD100163,Vivaan Joshi,Snacks,Chocolate,Bengaluru,07-08-24,South,4781.8,0.3,763.29,Karnataka
ORD100164,Isha Singh,Household,Detergent,Mumbai,24-04-25,West,3631.13,0.25,559.32,Maharashtra
ORD100165,Kunal Reddy,Snacks,Chips,Lucknow,08-05-23,North,7082.54,0.28,1029.27,Uttar Pradesh
ORD100166,Priya Das,Bakery,Rusk,Pune,23-10-23,West,4254.5,0.11,697.2,Maharashtra
ORD100167,Priya Reddy,Bakery,Croissant,Jaipur,06-08-25,North,862.34,0.25,157.88,Rajasthan
ORD100168,Ananya Reddy,Personal Care,Deodorant,Mumbai,15-04-23,West,7049.71,0.25,439.33,Maharashtra
ORD100169,Aarav Gupta,Personal Care,Shampoo,Ahmedabad,11-03-25,West,5457.17,0.12,929.65,Gujarat
ORD100170,Kunal Singh,Fruits & Vegetables,Potato,Chennai,05-09-24,South,303.67,0.23,39.55,Tamil Nadu
ORD100171,Ananya Kumar,Personal Care,Deodorant,Chennai,03-06-25,South,6331.04,0.05,1469.63,Tamil Nadu
ORD100172,Vivaan Singh,Bakery,Rusk,Pune,12-02-25,West,8907.98,0.07,769.89,Maharashtra
ORD100173,Isha Patel,Bakery,Bun,Mumbai,04-02-25,West,5875.47,0.04,1329.59,Maharashtra
ORD100174,Vivaan Kumar,Beverages,Tea,Kolkata,08-08-25,East,1212.74,0.09,63.53,West Bengal
ORD100175,Priya Patel,Snacks,Chocolate,Delhi,29-09-23,North,8556.27,0.24,801.23,Delhi
ORD100176,Isha Sharma,Fruits & Vegetables,Onion,Ahmedabad,30-09-24,West,3920.95,0.27,234.47,Gujarat
ORD100177,Ananya Joshi,Grocery,Rice,Pune,03-10-24,West,9151.63,0.22,877.78,Maharashtra
ORD100178,Rahul Singh,Dairy,Curd,Delhi,06-08-24,North,730.47,0.3,26.43,Delhi
ORD100179,Rohan Sharma,Dairy,Milk,Chennai,17-09-23,South,3437.01,0.18,220.21,Tamil Nadu
ORD100180,Priya Singh,Beverages,Tea,Mumbai,09-05-25,West,5640.59,0.1,1000.2,Maharashtra
ORD100181,Aarav Joshi,Household,Cleaner,Pune,26-06-23,West,9893.72,0.28,1619.55,Maharashtra
ORD100182,Rahul Patel,Beverages,Tea,Jaipur,09-07-23,North,840.36,0.08,128.43,Rajasthan
ORD100183,Vivaan Das,Beverages,Tea,Ahmedabad,05-12-24,West,2129.41,0.27,206.66,Gujarat
ORD100184,Aarav Joshi,Snacks,Cake,Ahmedabad,25-04-23,West,6695.96,0.24,1189.4,Gujarat
ORD100185,Rahul Nair,Dairy,Curd,Hyderabad,30-12-23,South,9727.28,0.08,474.19,Telangana
ORD100186,Vivaan Das,Bakery,Pastry,Bengaluru,03-08-23,South,7849.25,0.24,889.46,Karnataka
ORD100187,Isha Kumar,Bakery,Bun,Chennai,12-01-23,South,9641.98,0.3,1646.64,Tamil Nadu
ORD100188,Rahul Kumar,Beverages,Juice,Chennai,17-02-25,South,1701.18,0.01,241.09,Tamil Nadu
ORD100189,Sneha Gupta,Household,Detergent,Hyderabad,17-12-23,South,8938.02,0.27,1293.32,Telangana
ORD100190,Rohan Gupta,Personal Care,Cream,Bengaluru,03-06-24,South,4902.6,0.22,432.75,Karnataka
ORD100191,Sneha Kumar,Bakery,Bun,Ahmedabad,05-09-25,West,7313.94,0.13,336.58,Gujarat
ORD100192,Rahul Joshi,Fruits & Vegetables,Tomato,Mumbai,11-09-24,West,8038.34,0.01,1871.97,Maharashtra
ORD100193,Sneha Gupta,Household,Cleaner,Delhi,02-06-23,North,1319.23,0.05,263.92,Delhi
ORD100194,Kunal Kumar,Household,Tissue,Hyderabad,22-01-25,South,4807.56,0.07,322.48,Telangana
ORD100195,Isha Mehta,Household,Bucket,Ahmedabad,30-03-23,West,6784.21,0.06,352.38,Gujarat
ORD100196,Diya Reddy,Beverages,Soft Drinks,Chennai,15-04-23,South,1044.45,0.08,154.1,Tamil Nadu
ORD100197,Sneha Joshi,Beverages,Juice,Delhi,15-02-24,North,730.03,0.2,112.96,Delhi
ORD100198,Aarav Patel,Dairy,Butter,Chennai,30-10-24,South,3328.19,0.13,301.19,Tamil Nadu
ORD100199,Ananya Das,Bakery,Croissant,Pune,01-07-25,West,6644.71,0.29,986.84,Maharashtra
ORD100200,Vivaan Patel,Snacks,Biscuits,Delhi,04-03-25,North,1191.94,0.24,200.77,Delhi
ORD100201,Rohan Reddy,Bakery,Rusk,Jaipur,06-10-24,North,3177.44,0.27,236.99,Rajasthan
ORD100202,Diya Patel,Beverages,Juice,Delhi,01-02-24,North,9444.49,0.17,1597.27,Delhi
ORD100203,Aarav Reddy,Beverages,Water,Ahmedabad,17-07-23,West,8571.75,0.11,1572.31,Gujarat
ORD100204,Ananya Nair,Bakery,Bun,Ahmedabad,10-10-23,West,9227.96,0.23,1519.98,Gujarat
ORD100205,Isha Mehta,Personal Care,Toothpaste,Delhi,27-09-25,North,7841.96,0.05,1516.19,Delhi
ORD100206,Rohan Sharma,Dairy,Cheese,Mumbai,15-11-23,West,4620.73,0.27,708.79,Maharashtra
ORD100207,Isha Patel,Household,Mop,Pune,19-12-23,West,2167.01,0.13,303.62,Maharashtra
ORD100208,Kunal Nair,Beverages,Tea,Ahmedabad,28-05-23,West,7706.34,0.28,799.31,Gujarat
ORD100209,Rohan Das,Household,Tissue,Delhi,23-10-24,North,6525.53,0.15,1353.18,Delhi
ORD100210,Isha Sharma,Bakery,Rusk,Ahmedabad,06-09-24,West,9100.25,0.11,847.36,Gujarat
ORD100211,Rohan Das,Fruits & Vegetables,Tomato,Ahmedabad,06-09-24,West,308.4,0,65.64,Gujarat
ORD100212,Isha Joshi,Grocery,Oil,Ahmedabad,03-01-23,West,7387.09,0.02,623.97,Gujarat
ORD100213,Isha Das,Dairy,Cheese,Kolkata,11-10-24,East,3297.09,0.11,500.31,West Bengal
ORD100214,Rahul Nair,Fruits & Vegetables,Onion,Mumbai,31-03-23,West,652.43,0.2,72.6,Maharashtra
ORD100215,Vivaan Reddy,Beverages,Water,Mumbai,23-09-25,West,5351.21,0.13,990.9,Maharashtra
ORD100216,Diya Patel,Personal Care,Deodorant,Jaipur,30-04-25,North,9759.5,0.01,1781.64,Rajasthan
ORD100217,Kunal Nair,Household,Bucket,Mumbai,13-07-24,West,7536.96,0.08,968.82,Maharashtra
ORD100218,Sneha Kumar,Personal Care,Shampoo,Bengaluru,11-05-23,South,5665.43,0.2,1016.24,Karnataka
ORD100219,Priya Gupta,Beverages,Tea,Lucknow,09-09-24,North,5182.05,0.04,802.32,Uttar Pradesh
ORD100220,Diya Das,Beverages,Juice,Bengaluru,13-07-25,South,9847.96,0.11,965.75,Karnataka
ORD100221,Rahul Mehta,Household,Cleaner,Lucknow,23-11-24,North,4280.63,0.16,736.61,Uttar Pradesh
ORD100222,Sneha Joshi,Personal Care,Shampoo,Ahmedabad,10-02-23,West,5303.12,0.22,365.42,Gujarat
ORD100223,Diya Mehta,Fruits & Vegetables,Onion,Bengaluru,17-07-24,South,5701.26,0.16,1119.04,Karnataka
ORD100224,Vivaan Das,Household,Bucket,Mumbai,26-04-24,West,7232.68,0.03,734.87,Maharashtra
ORD100225,Rahul Reddy,Fruits & Vegetables,Onion,Kolkata,05-10-24,East,7420.25,0.2,1308.94,West Bengal
ORD100226,Diya Sharma,Grocery,Oil,Chennai,27-06-24,South,811.35,0.11,130.94,Tamil Nadu
ORD100227,Ananya Kumar,Grocery,Spices,Kolkata,06-12-23,East,1809.04,0,280.39,West Bengal
ORD100228,Rahul Joshi,Personal Care,Cream,Ahmedabad,30-04-25,West,7970.96,0.21,1354.99,Gujarat
ORD100229,Isha Singh,Fruits & Vegetables,Potato,Chennai,29-05-23,South,4436.1,0.16,678.54,Tamil Nadu
ORD100230,Rohan Patel,Dairy,Curd,Bengaluru,27-05-25,South,7368.98,0.19,1239.63,Karnataka
ORD100231,Vivaan Joshi,Fruits & Vegetables,Tomato,Mumbai,08-08-25,West,6631.22,0.27,1120.42,Maharashtra
ORD100232,Kunal Mehta,Fruits & Vegetables,Apple,Kolkata,18-03-24,East,1088.91,0.09,174.36,West Bengal
ORD100233,Priya Singh,Snacks,Cake,Mumbai,26-06-23,West,7224.37,0.24,1103,Maharashtra
ORD100234,Kunal Singh,Beverages,Water,Hyderabad,01-08-24,South,7382.49,0.29,522.76,Telangana
ORD100235,Diya Kumar,Beverages,Tea,Kolkata,22-09-23,East,1649.04,0.17,83.45,West Bengal
